name,dob,outcome_type,outcome_subtype,outcome_datetime,sex,color,age,breed
Moose,2014-02-18,Transfer,Partner,2016-02-22 13:18:00,Intact Male,Cream,2 years,Shih Tzu
Zeus,2019-01-30,Adoption,Foster,2019-04-05 18:36:00,Neutered Male,Tan/White,2 months,Labrador Retriever
Duke,2011-08-27,Transfer,Partner,2018-11-02 11:40:00,Intact Male,Brown/Tricolor,7 years,Great Dane
*Sweet Pea,2006-05-16,Transfer,Partner,2016-06-08 00:00:00,Intact Female,Black,10 years,Labrador Retriever
Gizzy,2022-08-24,Return to Owner,Field,2024-08-24 19:42:00,Intact Male,Gray,2 years,Miniature Schnauzer
Unknown,2017-05-03,Adoption,Offsite,2017-09-09 12:43:00,Neutered Male,Brown Brindle/White,4 months,Greyhound
Celest,2020-01-11,Adoption,Foster,2024-01-29 12:03:00,Spayed Female,Black/White,4 years,Siberian Husky
Ace Hunter,2013-03-01,Adoption,Foster,2019-09-27 06:44:00,Neutered Male,White/Red Tick,6 years,Pointer
Unknown,2020-03-22,Transfer,Partner,2021-04-26 12:40:00,Intact Male,Gray/White,1 year,Cairn Terrier
*Boden,2023-09-16,Adoption,Foster,2024-03-27 19:14:00,Spayed Female,Brown Brindle/White,6 months,Plott Hound
A879291,2022-04-24,Transfer,Partner,2023-04-26 14:08:00,Intact Female,Red,1 year,Dachshund
Glory,2018-12-24,Transfer,Partner,2019-07-17 13:43:00,Intact Female,Black,6 months,Welsh Terrier
Panda,2011-07-30,Euthanasia,Suffering,2024-08-03 16:59:00,Neutered Male,Black/White,13 years,Bearded Collie
Miles,2012-04-04,Transfer,Partner,2015-02-14 12:25:00,Neutered Male,Brown,2 years,Labrador Retriever
Pee Wee,2009-03-12,Transfer,Partner,2015-03-14 12:18:00,Spayed Female,Brown/White,6 years,Miniature Schnauzer
Luke,2012-11-06,Transfer,Partner,2015-10-13 11:37:00,Neutered Male,Tan/White,2 years,Labrador Retriever
Unknown,2019-06-01,Transfer,Partner,2019-07-13 06:46:00,Intact Female,Sable/White,1 month,American Staffordshire Terrier
*Fig,2020-01-28,Transfer,Partner,2020-10-06 11:40:00,Intact Female,Fawn,8 months,Australian Cattle Dog
Smokey,2021-10-07,Transfer,Partner,2022-04-11 10:59:00,Intact Male,Black Smoke,6 months,Shih Tzu
*Romano,2018-05-06,Transfer,Partner,2019-12-03 14:26:00,Intact Male,White/Black,1 year,Dalmatian
Banjo,2019-02-01,Adoption,Foster,2020-02-07 18:15:00,Neutered Male,Red/White,1 year,Australian Cattle Dog
Unknown,2012-09-04,Transfer,Partner,2016-09-08 14:23:00,Intact Male,Brown Brindle/White,4 years,Boxer
Hunter,2019-04-22,Transfer,Partner,2019-09-06 15:36:00,Neutered Male,Fawn,4 months,Pointer
*Avery,2014-03-12,Adoption,Foster,2014-05-26 18:07:00,Spayed Female,Black,2 months,Border Collie
A859849,2017-06-20,Transfer,Partner,2022-06-24 07:55:00,Intact Female,White/Black,5 years,Shih Tzu
Unknown,2015-02-11,Transfer,Partner,2018-02-17 16:27:00,Neutered Male,Black/White,3 years,Pug
403 Grams,2019-07-07,Transfer,Partner,2019-07-10 19:29:00,Intact Male,Brown,3 days,Labrador Retriever
Piccolo,2021-01-06,Adoption,Offsite,2021-05-01 14:09:00,Neutered Male,Brown/White,3 months,Labrador Retriever
A874903,2023-02-20,Transfer,Partner,2023-02-21 18:21:00,Unknown,Black,1 day,Australian Cattle Dog
Sweetie,2016-03-15,Transfer,Partner,2019-01-30 14:47:00,Spayed Female,Fawn,2 years,Pug
*Suzuki,2015-01-28,Transfer,Partner,2015-04-24 15:36:00,Intact Male,Black/White,2 months,Labrador Retriever
Unknown,2024-07-30,Transfer,Partner,2024-09-02 13:49:00,Intact Male,Black,4 weeks,Australian Cattle Dog
*Lyra,2021-12-03,Adoption,Foster,2022-04-13 08:34:00,Spayed Female,Brown,4 months,Border Collie
Unknown,2012-06-04,Transfer,Partner,2014-06-10 14:31:00,Spayed Female,White,2 years,Great Pyrenees
*Rustle,2023-01-07,Adoption,Foster,2023-03-02 12:20:00,Neutered Male,Tricolor,1 month,Standard Schnauzer
*Handsome,2015-04-25,Transfer,Partner,2015-10-31 17:49:00,Neutered Male,White/Brown,6 months,Harrier
Unknown,2017-02-08,Adoption,Foster,2017-05-03 15:23:00,Neutered Male,Chocolate/White,2 months,Labrador Retriever
Stella,2010-12-27,Transfer,Partner,2014-07-15 13:51:00,Spayed Female,Black/White,3 years,Great Dane
Unknown,2022-06-19,Transfer,Out State,2022-10-10 09:34:00,Intact Female,Red/Black,3 months,Belgian Malinois
*Millie,2023-03-22,Adoption,Foster,2024-05-11 00:00:00,Spayed Female,Gold/White,1 year,Labrador Retriever
Levi,2018-09-03,Adoption,Foster,2023-11-02 10:42:00,Neutered Male,Black/White,5 years,Border Collie
Rio Bravo,2014-09-02,Return to Owner,Field,2022-09-03 01:16:00,Intact Male,Gray/Brown,8 years,Wirehaired Pointing Griffon
Hershey,2020-12-27,Adoption,Offsite,2021-03-13 13:56:00,Neutered Male,Chocolate/White,2 months,Treeing Walker Coonhound
A848848,2021-12-27,Adoption,Foster,2022-02-26 10:57:00,Spayed Female,Black/White,1 month,Australian Cattle Dog
Lucy,2013-04-25,Transfer,Partner,2018-04-28 11:10:00,Intact Female,Black/Tan,5 years,Shih Tzu
Gaston,2011-05-07,Euthanasia,Aggressive,2016-05-20 18:31:00,Neutered Male,Chocolate,5 years,Dachshund
Ike,2017-04-24,Transfer,Partner,2018-04-26 15:37:00,Neutered Male,Black/White,1 year,Labrador Retriever
Roger Rabbit,2015-02-08,Transfer,Partner,2015-04-02 00:00:00,Intact Male,White/Black,1 month,Shih Tzu
*Cooper,2022-04-12,Adoption,Foster,2022-10-25 13:03:00,Neutered Male,White/Brown,6 months,Labrador Retriever
Duke,2008-08-14,Euthanasia,Suffering,2016-08-14 13:20:00,Neutered Male,Tricolor,8 years,Boxer
Unknown,2018-03-14,Died,At Vet,2018-05-29 00:00:00,Intact Female,Brown/Black,2 months,Labrador Retriever
*Vera,2021-02-14,Transfer,Out State,2022-04-06 07:41:00,Spayed Female,Black/White,1 year,Australian Kelpie
Hope,2018-04-01,Adoption,Foster,2020-04-14 15:22:00,Spayed Female,White/Brown,2 years,Border Collie
*Holiday,2020-04-02,Transfer,Out State,2021-11-05 11:26:00,Neutered Male,Brown,1 year,Labrador Retriever
Unknown,2023-02-02,Transfer,Partner,2023-06-02 18:18:00,Intact Female,White/Black,3 months,Rat Terrier
Unknown,2018-06-05,Transfer,Partner,2018-07-05 14:10:00,Intact Female,Gray/Blue Merle,4 weeks,Australian Shepherd
Unknown,2022-04-06,Transfer,Partner,2022-04-19 14:54:00,Unknown,Tricolor,1 weeks,Australian Cattle Dog
Leo,2015-11-21,Transfer,Partner,2016-01-22 11:31:00,Intact Male,White/Tan,2 months,Shih Tzu
*Dexter,2011-01-13,Transfer,Partner,2016-01-28 12:05:00,Neutered Male,Brown Brindle/White,5 years,Boxer
*Rose,2011-12-20,Adoption,Foster,2014-02-02 15:14:00,Spayed Female,Brown/Black,2 years,Miniature Schnauzer
Riley Grace,2008-12-03,Transfer,Partner,2015-10-26 00:00:00,Spayed Female,Black,6 years,Border Collie
Homer,2009-12-21,Euthanasia,Aggressive,2013-11-11 15:31:00,Intact Male,Blue Tick,3 years,Australian Cattle Dog
Pinky,2012-06-13,Transfer,Partner,2014-06-19 15:01:00,Intact Male,Brown,2 years,Dachshund
*Brindi,2017-02-02,Adoption,Foster,2019-04-12 16:09:00,Spayed Female,Brown Brindle/White,2 years,Plott Hound
Unknown,2020-08-08,Transfer,Partner,2022-08-12 12:01:00,Intact Male,Tan,2 years,Lhasa Apso
Unknown,2006-12-05,Euthanasia,Suffering,2014-12-05 13:33:00,Intact Male,Black/Black,8 years,Labrador Retriever
*Miel,2016-08-19,Adoption,Foster,2019-10-03 12:50:00,Spayed Female,Tan,3 years,Labrador Retriever
Unknown,2012-02-12,Transfer,Partner,2022-02-16 10:48:00,Neutered Male,Black/Gray,10 years,Dachshund
Unknown,2005-04-13,Euthanasia,Suffering,2015-04-13 15:43:00,Neutered Male,White,10 years,Maltese
Unknown,2017-02-21,Transfer,Partner,2017-06-25 13:18:00,Intact Female,Brown/Black,4 months,Pekingese
*Hector,2011-06-13,Euthanasia,Behavior,2014-05-14 17:11:00,Neutered Male,Black/White,2 years,American Bulldog
Unknown,2012-04-19,Transfer,Partner,2013-10-24 11:11:00,Neutered Male,White,1 year,Great Pyrenees
Lucy,2015-08-24,Transfer,Partner,2016-09-18 00:00:00,Spayed Female,Black/Tricolor,1 year,Australian Kelpie
Tiki,2008-04-09,Adoption,Offsite,2015-09-27 13:19:00,Spayed Female,Brown Brindle,7 years,Dachshund
Moon,2013-03-10,Transfer,Partner,2014-08-01 12:17:00,Spayed Female,White/Blue,1 year,American Staffordshire Terrier
Rex,2007-12-02,Transfer,Partner,2014-12-04 18:51:00,Neutered Male,Gold,7 years,Golden Retriever
*Blossom,2022-03-15,Transfer,Out State,2022-06-23 10:06:00,Intact Female,White,3 months,Great Pyrenees
Tank,2009-12-20,Transfer,Partner,2019-06-28 10:31:00,Intact Male,White/Brown,9 years,American Bulldog
Cream Puff,2023-03-12,Transfer,Partner,2023-05-18 11:47:00,Intact Male,Cream/White,2 months,Border Terrier
Luna,2017-11-06,Adoption,Foster,2018-11-28 17:44:00,Spayed Female,White/Brown,1 year,Pointer
Unknown,2019-01-30,Adoption,Foster,2019-04-04 16:10:00,Spayed Female,Tricolor,2 months,Labrador Retriever
*Mac,2022-11-28,Adoption,Foster,2024-01-13 12:30:00,Neutered Male,Tan/White,1 year,Labrador Retriever
Unknown,2018-12-04,Transfer,Partner,2023-12-08 12:30:00,Intact Female,Gray,5 years,Shih Tzu
Precious,2012-09-01,Transfer,Partner,2015-09-21 12:39:00,Intact Female,Yellow/White,3 years,Labrador Retriever
Unknown,2020-08-19,Euthanasia,Suffering,2022-08-24 10:12:00,Intact Female,Tricolor,2 years,Cairn Terrier
A848594,2021-12-14,Transfer,Partner,2021-12-23 17:21:00,Intact Female,Gold/White,1 weeks,Cocker Spaniel
Unknown,2004-08-09,Euthanasia,Suffering,2014-08-12 11:03:00,Spayed Female,Black,10 years,Labrador Retriever
Unknown,2021-09-01,Transfer,Partner,2021-09-09 13:10:00,Intact Male,Brown/White,1 weeks,Labrador Retriever
Spanky,2012-03-27,Transfer,Partner,2017-05-28 16:54:00,Neutered Male,Chocolate/White,5 years,Labrador Retriever
Jackson,2008-09-16,Transfer,Partner,2015-09-17 12:22:00,Neutered Male,Buff,7 years,Pomeranian
Christine,2011-04-30,Adoption,Offsite,2014-05-03 07:35:00,Spayed Female,Cream,3 years,Standard Schnauzer
Unknown,2014-05-29,Transfer,Partner,2014-05-31 11:21:00,Intact Male,Black/White,2 days,Labrador Retriever
Unknown,2018-12-26,Transfer,Partner,2019-04-29 16:15:00,Spayed Female,White/Black,4 months,Pointer
Unknown,2014-02-14,Transfer,Partner,2014-03-20 14:29:00,Intact Female,Brown,4 weeks,Chow Chow
Unknown,2018-05-02,Transfer,Partner,2018-07-07 09:48:00,Neutered Male,Tricolor,2 months,Beagle
Unknown,2020-08-27,Transfer,Partner,2020-08-28 15:26:00,Intact Female,Brown,1 day,Australian Shepherd
Unknown,2016-08-23,Transfer,Partner,2017-08-25 12:58:00,Intact Male,Black/White,1 year,Shih Tzu
Dexter,2010-03-02,Adoption,Foster,2016-04-02 11:10:00,Neutered Male,Tan/White,6 years,Dachshund
*Margot,2019-10-23,Transfer,Partner,2020-12-04 12:59:00,Spayed Female,Brown Brindle/White,1 year,Plott Hound
Chase,2018-08-01,Adoption,Foster,2020-12-19 11:57:00,Neutered Male,Black Brindle/White,2 years,Australian Kelpie
Unknown,2011-03-06,Transfer,Partner,2019-03-07 14:13:00,Intact Female,Brown/White,8 years,Boxer
*Tango,2017-08-28,Transfer,Partner,2018-09-06 12:04:00,Intact Female,Brown/White,1 year,Labrador Retriever
*Albus,2021-04-12,Adoption,Foster,2022-10-28 07:02:00,Neutered Male,White,1 year,Boxer
Marley,2014-03-21,Transfer,Partner,2014-05-06 13:44:00,Intact Male,Black/White,1 month,Pointer
*Mary,2014-09-15,Transfer,Partner,2016-09-22 14:01:00,Intact Female,White/Tan,2 years,Labrador Retriever
Jc,2012-07-09,Transfer,Partner,2014-07-17 15:18:00,Intact Male,Chocolate,2 years,Labrador Retriever
Unknown,2016-06-21,Euthanasia,Suffering,2018-06-21 15:18:00,Intact Male,White,2 years,Lhasa Apso
Major,2014-03-25,Transfer,Partner,2024-03-30 12:17:00,Neutered Male,Brown Brindle/White,10 years,Dachshund
*Abbie,2011-08-29,Transfer,Partner,2016-09-24 15:23:00,Intact Female,Black/Brown,5 years,Labrador Retriever
Unknown,2014-01-06,Transfer,Partner,2014-05-06 14:52:00,Intact Female,Tan/White,3 months,Australian Cattle Dog
Colt,2018-01-14,Transfer,Partner,2019-01-16 10:00:00,Intact Male,Brown,1 year,Bulldog
Kylo,2023-07-31,Adoption,Foster,2023-10-02 16:03:00,Intact Male,Blue/White,2 months,Labrador Retriever
Unknown,2018-07-15,Transfer,Partner,2018-07-18 16:37:00,Intact Female,Black/White,3 days,Border Collie
Aquilla,2012-09-28,Transfer,Partner,2013-10-07 13:12:00,Neutered Male,Black/White,1 year,Australian Kelpie
Spider,2012-11-26,Euthanasia,Aggressive,2016-03-22 12:56:00,Neutered Male,Black/White,3 years,American Staffordshire Terrier
Parker,2010-10-20,Euthanasia,Aggressive,2014-11-07 17:36:00,Neutered Male,Black/White,4 years,Labrador Retriever
Unknown,2006-01-20,Transfer,Partner,2018-01-24 11:40:00,Neutered Male,Black,12 years,Yorkshire Terrier
Unknown,2001-10-26,Euthanasia,Suffering,2013-10-28 11:25:00,Intact Male,Black,12 years,Cocker Spaniel
Unknown,2016-07-14,Euthanasia,Suffering,2018-01-15 18:19:00,Intact Female,Tan/White,1 year,Soft Coated Wheaten Terrier
Leo,2018-05-01,Adoption,Foster,2018-12-13 16:56:00,Neutered Male,Brown,7 months,Pomeranian
Oliver,2010-09-05,Transfer,Partner,2019-02-27 11:19:00,Neutered Male,Tricolor,8 years,Belgian Malinois
Max,2017-03-14,Transfer,Partner,2017-05-14 13:24:00,Intact Male,Black,1 month,Labrador Retriever
Unknown,2013-10-21,Transfer,Partner,2013-12-28 15:18:00,Intact Male,Tan/White,2 months,Leonberger
Boshe,2016-06-07,Transfer,Partner,2022-06-13 11:21:00,Intact Male,White/Black,6 years,Shih Tzu
Charlotte,2015-11-21,Transfer,Partner,2016-01-22 11:31:00,Intact Female,White/Black,2 months,Shih Tzu
Amy,2006-03-12,Euthanasia,Suffering,2014-03-12 19:04:00,Spayed Female,Tricolor,8 years,Basset Hound
Riley,2014-06-15,Transfer,Partner,2019-12-17 12:17:00,Spayed Female,Tan,5 years,Chow Chow
Unknown,2015-05-02,Transfer,Partner,2015-06-12 16:58:00,Intact Female,Black,1 month,Labrador Retriever
*Leah,2014-12-09,Transfer,Partner,2016-12-10 13:47:00,Intact Female,Black/White,2 years,Labrador Retriever
Unknown,2016-02-13,Transfer,Partner,2016-12-22 16:18:00,Neutered Male,Tricolor/White,10 months,Australian Cattle Dog
Unknown,2013-11-03,Transfer,Partner,2014-11-07 16:34:00,Spayed Female,Brown Brindle/White,1 year,Boston Terrier
Duke,2013-08-05,Adoption,Foster,2020-05-12 14:04:00,Neutered Male,Tan,6 years,Basset Hound
Unknown,2017-11-25,Transfer,Partner,2020-12-02 12:53:00,Spayed Female,Tan/Black,3 years,Yorkshire Terrier
Mabel,2007-02-02,Transfer,Partner,2014-03-02 12:34:00,Spayed Female,Tricolor,7 years,Italian Greyhound
Unknown,2019-05-20,Transfer,Partner,2019-07-23 14:21:00,Intact Male,Black/White,2 months,Labrador Retriever
Ruby,2020-02-28,Adoption,Foster,2020-05-26 15:49:00,Intact Female,White/Black,2 months,Labrador Retriever
*Luke,2019-09-11,Adoption,Foster,2019-11-30 10:56:00,Neutered Male,White/Chocolate,2 months,Australian Cattle Dog
Cloud,2022-06-02,Adoption,Foster,2023-08-03 14:34:00,Neutered Male,Black/Tan,1 year,Australian Kelpie
A872251,2021-01-06,Transfer,Partner,2023-01-11 15:48:00,Intact Female,Tricolor,2 years,Border Terrier
*Faith,2013-10-04,Transfer,Partner,2013-12-06 16:34:00,Intact Female,Tricolor,2 months,Australian Shepherd
Eli James,2017-05-07,Euthanasia,Rabies Risk,2017-07-10 17:59:00,Intact Male,Black,2 months,Labrador Retriever
Unknown,2018-06-05,Transfer,Partner,2018-07-05 14:59:00,Intact Male,White/Black,4 weeks,Labrador Retriever
Unknown,2019-12-31,Euthanasia,At Vet,2021-01-05 13:29:00,Unknown,Brown/White,1 year,Basset Hound
*Buzz,2017-02-13,Adoption,Foster,2017-05-09 13:26:00,Neutered Male,Blue Merle/Brown,2 months,Australian Cattle Dog
Turtle,2015-12-09,Adoption,Foster,2016-08-17 13:12:00,Neutered Male,Blue Merle/Tan,8 months,Dachshund
Coco,2007-04-21,Transfer,Partner,2022-06-15 14:16:00,Intact Male,Tan/Silver,15 years,Yorkshire Terrier
*Cricket,2019-10-18,Adoption,Foster,2019-12-11 16:17:00,Spayed Female,Black/White,1 month,Labrador Retriever
*Barney,2015-04-23,Transfer,Partner,2018-04-27 12:01:00,Intact Male,Chocolate,3 years,Labrador Retriever
*Eeyore,2011-11-20,Adoption,Foster,2013-12-24 11:57:00,Neutered Male,Blue/White,2 years,American Staffordshire Terrier
*Mojave,2020-08-10,Transfer,Out State,2021-11-01 13:08:00,Neutered Male,Brown,1 year,Labrador Retriever
Suki,2006-10-19,Adoption,Foster,2019-01-03 07:17:00,Spayed Female,Brown/White,12 years,Shiba Inu
*Sprinkles,2022-11-30,Transfer,Partner,2023-08-14 18:43:00,Intact Female,Black/Tan,8 months,Australian Cattle Dog
Sebastian,2013-12-10,Adoption,Foster,2014-12-20 09:50:00,Neutered Male,Red Tick,1 year,Australian Cattle Dog
Thelma,2017-07-25,Transfer,Partner,2017-09-28 16:54:00,Intact Female,White,2 months,Yorkshire Terrier
Unknown,2007-04-03,Euthanasia,Suffering,2015-04-12 15:07:00,Spayed Female,White/Gray,8 years,Shih Tzu
*Miette,2014-07-08,Adoption,Foster,2014-12-30 13:11:00,Spayed Female,Brown/White,5 months,Australian Cattle Dog
Aries,2015-03-05,Transfer,Partner,2015-11-09 14:40:00,Intact Male,Brown Brindle/White,8 months,Mastiff
Clyde,2011-08-26,Died,In Kennel,2021-08-30 13:00:00,Intact Male,Black,10 years,Miniature Schnauzer
*Hunter,2018-07-02,Transfer,Partner,2019-07-08 13:50:00,Intact Male,White/Brown Brindle,1 year,Boxer
Roxy,2012-11-26,Transfer,Partner,2018-12-01 13:35:00,Spayed Female,Brown/Black,6 years,Belgian Malinois
*Nick,2021-06-02,Transfer,Out State,2021-12-16 16:34:00,Neutered Male,Brown/White,6 months,Labrador Retriever
Kodi,2020-01-10,Transfer,Partner,2020-03-03 15:27:00,Intact Male,Black/White,1 month,Australian Shepherd
Unknown,2022-01-16,Transfer,Partner,2022-01-19 17:44:00,Unknown,Cream,3 days,Great Pyrenees
*Tilda,2023-11-29,Transfer,Partner,2024-03-02 11:08:00,Spayed Female,White,3 months,Great Pyrenees
Unknown,2006-10-17,Euthanasia,Suffering,2014-10-17 14:27:00,Unknown,Blue Merle,8 years,Australian Cattle Dog
Unknown,2019-06-17,Transfer,Partner,2019-09-25 10:49:00,Spayed Female,Brown/Tricolor,3 months,Australian Cattle Dog
Nibbles,2015-03-28,Transfer,Partner,2017-04-01 13:45:00,Neutered Male,Black/Tan,2 years,Rottweiler
*Pogo,2021-07-21,Adoption,Foster,2022-09-01 10:51:00,Neutered Male,Black/White,1 year,Labrador Retriever
Unknown,2015-12-19,Adoption,Foster,2016-02-20 17:48:00,Neutered Male,Tan,2 months,Labrador Retriever
Bimbo,2013-01-11,Transfer,Partner,2021-01-11 17:40:00,Intact Male,Red/Tan,8 years,Pomeranian
Unknown,2018-11-10,Transfer,Partner,2019-11-15 12:12:00,Neutered Male,Black,1 year,Border Terrier
Paloma,2012-08-05,Transfer,Partner,2020-08-12 12:58:00,Spayed Female,White,8 years,Great Pyrenees
Molly,2016-09-07,Transfer,Partner,2017-09-16 16:01:00,Spayed Female,White/Brown,1 year,Shih Tzu
Popis,2018-08-06,Transfer,Partner,2019-08-21 16:23:00,Spayed Female,White/Tan,1 year,Labrador Retriever
Unknown,2017-11-11,Transfer,Partner,2019-11-18 12:05:00,Spayed Female,Black,2 years,Maltese
Unknown,2022-01-21,Transfer,Partner,2022-01-26 10:26:00,Intact Male,Black,5 days,Weimaraner
*Sheba,2016-05-25,Transfer,Partner,2018-06-13 12:11:00,Spayed Female,Gray/White,2 years,Carolina Dog
*Barney,2013-07-05,Transfer,Partner,2015-09-02 15:10:00,Neutered Male,Tan/White,2 years,Labrador Retriever
*Orville,2016-04-01,Transfer,Partner,2017-10-06 14:16:00,Intact Male,Brown,1 year,Labrador Retriever
